,Unique gene,EC,Pathway,KO
15,gene_475,2.7.7.6,[],"['E2.7.7.6; DNA-directed RNA polymerase [EC:2.7.7.6]', 'RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]', 'RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]', 'RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]', 'RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]', 'RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]', 'RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]', 'rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]', ""rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]"", 'rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]', 'rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]', ""rpoB1; DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]"", 'rpoB2; DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]', ""rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]"", 'rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]', ""rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]"", 'rpoE2; DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]', 'rpoF; DNA-directed RNA polymerase subunit F [EC:2.7.7.6]', 'rpoG; DNA-directed RNA polymerase subunit G [EC:2.7.7.6]', 'rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]', 'rpoI; DNA-directed RNA polymerase subunit I [EC:2.7.7.6]', 'rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]', 'rpoL; DNA-directed RNA polymerase subunit L [EC:2.7.7.6]', 'rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]', 'rpoP; DNA-directed RNA polymerase subunit P [EC:2.7.7.6]', 'rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]', 'POLRMT, RPO41; DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]', ""rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]"", 'rpoB; DNA-directed RNA polymerase subunit B [EC:2.7.7.6]', 'NRPD1; DNA-directed RNA polymerase IV subunit 1 [EC:2.7.7.6]', 'NRPE1; DNA-directed RNA polymerase V subunit 1 [EC:2.7.7.6]', 'NRPD2, NRPE2; DNA-directed RNA polymerase IV and V subunit 2 [EC:2.7.7.6]', 'RPO18; Poxviridae DNA-directed RNA polymerase [EC:2.7.7.6]', 'gp50; virion DNA-directed RNA polymerase [EC:2.7.7.6]', '1; T7 RNA polymerase [EC:2.7.7.6]']"
16,gene_487,3.1.26.-,[],[]
17,gene_490,6.1.1.17,"['Porphyrin and chlorophyll metabolism', 'Aminoacyl-tRNA biosynthesis']","['EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]', 'EPRS; bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]']"
18,gene_491,4.6.1.12,['Terpenoid backbone biosynthesis'],"['ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]', 'ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]']"
19,gene_492,2.7.7.60,['Terpenoid backbone biosynthesis'],"['ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]', 'ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]']"
20,gene_493,3.1.-.-,[],[]
21,gene_494,3.6.4.-,[],[]
22,gene_496,2.7.14.1,[],['mcsB; protein arginine kinase [EC:2.7.14.1]']
23,gene_781,3.6.4.12,[],"['MCM5, CDC46; DNA replication licensing factor MCM5 [EC:3.6.4.12]', 'MCM7, CDC47; DNA replication licensing factor MCM7 [EC:3.6.4.12]', 'MCM4, CDC54; DNA replication licensing factor MCM4 [EC:3.6.4.12]', 'dnaB; replicative DNA helicase [EC:3.6.4.12]', 'MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]', 'MCM3; DNA replication licensing factor MCM3 [EC:3.6.4.12]', 'MCM6; DNA replication licensing factor MCM6 [EC:3.6.4.12]', 'TFIIF2, GTF2F2, TFG2; transcription initiation factor TFIIF subunit beta [EC:3.6.4.12]', 'topG, rgy; reverse gyrase [EC:5.6.2.2 3.6.4.12]', 'ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]', 'ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]', 'recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]', 'recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]', 'rep; ATP-dependent DNA helicase Rep [EC:3.6.4.12]', 'uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]', 'helD; DNA helicase IV [EC:3.6.4.12]', 'dinG; ATP-dependent DNA helicase DinG [EC:3.6.4.12]', 'CHD8, HELSNF1; chromodomain helicase DNA binding protein 8 [EC:3.6.4.12]', 'FBXO18; F-box protein, helicase, 18 [EC:3.6.4.12]', 'RECQL4; ATP-dependent DNA helicase Q4 [EC:3.6.4.12]', 'MCM8; DNA helicase MCM8 [EC:3.6.4.12]', 'MCM9; DNA helicase MCM9 [EC:3.6.4.12]', 'DNA2; DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]', 'ATRX; transcriptional regulator ATRX [EC:3.6.4.12]', 'ERCC3, XPB; DNA excision repair protein ERCC-3 [EC:3.6.4.12]', 'ERCC2, XPD; DNA excision repair protein ERCC-2 [EC:3.6.4.12]', 'RAD54L2; RAD54-like protein 2 [EC:3.6.4.12]', 'RECQL; ATP-dependent DNA helicase Q1 [EC:3.6.4.12]', 'WRN, RECQL2; werner syndrome ATP-dependent helicase [EC:3.6.4.12]', 'BLM, RECQL3, SGS1; bloom syndrome protein [EC:3.6.4.12]', 'RECQL5; ATP-dependent DNA helicase Q5 [EC:3.6.4.12]', 'RTEL1; regulator of telomere elongation helicase 1 [EC:3.6.4.12]', 'RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:3.6.4.12]', 'CHD1; chromodomain-helicase-DNA-binding protein 1 [EC:3.6.4.12]', 'CHD3, MI2A; chromodomain-helicase-DNA-binding protein 3 [EC:3.6.4.12]', 'CHD4, MI2B; chromodomain-helicase-DNA-binding protein 4 [EC:3.6.4.12]', 'INO80, INOC1; DNA helicase INO80 [EC:3.6.4.12]', 'SWR1; helicase SWR1 [EC:3.6.4.12]', 'CHD5; chromodomain-helicase-DNA-binding protein 5 [EC:3.6.4.12]', 'CHD6; chromodomain-helicase-DNA-binding protein 6 [EC:3.6.4.12]', 'CHD7; chromodomain-helicase-DNA-binding protein 7 [EC:3.6.4.12]', 'CHD9; chromodomain-helicase-DNA-binding protein 9 [EC:3.6.4.12]', 'SMARCAD1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:3.6.4.12]', 'SMARCAL1, HARP; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:3.6.4.12]', 'MPH1; ATP-dependent DNA helicase MPH1 [EC:3.6.4.12]', 'HELB; DNA helicase B [EC:3.6.4.12]', 'PIF1; ATP-dependent DNA helicase PIF1 [EC:3.6.4.12]', 'HFM1, MER3; ATP-dependent DNA helicase HFM1/MER3 [EC:3.6.4.12]', 'BRIP1, BACH1, FANCJ; fanconi anemia group J protein [EC:3.6.4.12]', 'addA; ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]', 'addB; ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]', 'G3BP1; Ras GTPase-activating protein-binding protein 1 [EC:3.6.4.12 3.6.4.13]', 'PEO1; twinkle protein [EC:3.6.4.12]', 'ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]', 'uvsW; ATP-dependent DNA helicase UvsW [EC:3.6.4.12]', 'IGHMBP2; ATP-dependent RNA/DNA helicase IGHMBP2 [EC:3.6.4.12 3.6.4.13]', 'HELQ; POLQ-like helicase [EC:3.6.4.12]', 'NAV2; neuron navigator 2 [EC:3.6.4.12]', 'HMI1; ATP-dependent DNA helicase HMI1, mitochondrial [EC:3.6.4.12]', 'HCS1; DNA polymerase alpha-associated DNA helicase A [EC:3.6.4.12]', 'CHD2; chromodomain-helicase-DNA-binding protein 2 [EC:3.6.4.12]', 'CHD1L; chromodomain-helicase-DNA-binding protein 1-like [EC:3.6.4.12]', 'ERCC6L, PICH; DNA excision repair protein ERCC-6-like [EC:3.6.4.12]', 'HELI; Baculoviridae DNA replication helicase [EC:3.6.4.12]', 'dda; ATP-dependent DNA helicase [EC:3.6.4.12]', 'Gp4; DNA primase/helicase [EC:2.7.7.- 3.6.4.12]', 'E1; HPV replication protein E1 [EC:3.6.4.12]', 'JBP2; thymine dioxygenase / DNA helicase [EC:1.14.11.6 3.6.4.12]']"
24,gene_786,3.2.1.170,[],['mngB; mannosylglycerate hydrolase [EC:3.2.1.170]']
25,gene_930,3.1.1.84,"['Tropane, piperidine and pyridine alkaloid biosynthesis']","['CES2; carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]', 'cocE; cocaine esterase [EC:3.1.1.84]']"
26,gene_931,3.1.3.5,"['Purine metabolism', 'Pyrimidine metabolism', 'Nicotinate and nicotinamide metabolism']","[""E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]"", ""surE; 5'-nucleotidase [EC:3.1.3.5]"", ""yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]"", ""yjjG; 5'-nucleotidase [EC:3.1.3.5]"", ""ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]"", 'ACPP; prostatic aicd phosphatase [EC:3.1.3.2 3.1.3.5]', ""NT5E, CD73; 5'-nucleotidase [EC:3.1.3.5]"", ""yrfG; 5'-nucleotidase [EC:3.1.3.5]"", ""NT5C3; cytosolic 5'-nucleotidase 3 [EC:3.1.3.5 3.1.3.-]""]"
27,gene_1001,3.6.3.-,[],[]
28,gene_1920,3.6.4.13,[],"['hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]', 'hrpB; ATP-dependent helicase HrpB [EC:3.6.4.13]', 'rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13]', 'srmB; ATP-dependent RNA helicase SrmB [EC:3.6.4.13]', 'dbpA; ATP-dependent RNA helicase DbpA [EC:3.6.4.13]', 'deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]', 'DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:3.6.4.13]', 'DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]', 'HRR1; helicase required for RNAi-mediated heterochromatin assembly 1 [EC:3.6.4.13]', 'rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]', 'MTR4, SKIV2L2; ATP-dependent RNA helicase DOB1 [EC:3.6.4.13]', 'DDX6, RCK, DHH1; ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13]', 'DDX58, RIG-I; ATP-dependent RNA helicase DDX58 [EC:3.6.4.13]', 'IFIH1, MDA5; interferon-induced helicase C domain-containing protein 1 [EC:3.6.4.13]', 'DHX58, LGP2; ATP-dependent RNA helicase DHX58 [EC:3.6.4.13]', 'DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]', 'DDX39B, UAP56, SUB2; ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13]', 'DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13]', 'PRP2; pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 [EC:3.6.4.13]', 'DHX38, PRP16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]', 'DHX8, PRP22; ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]', 'DHX15, PRP43; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]', 'DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]', 'DDX42, SF3B125; ATP-dependent RNA helicase DDX42 [EC:3.6.4.13]', 'SNRNP200, BRR2; pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]', 'DDX23, PRP28; ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]', 'EIF4A3, FAL1; ATP-dependent RNA helicase [EC:3.6.4.13]', 'DHX57; ATP-dependent RNA helicase DHX57 [EC:3.6.4.13]', 'DDX41, ABS; ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]', 'DHX35; ATP-dependent RNA helicase DDX35 [EC:3.6.4.13]', 'DDX20, GEMIN3; ATP-dependent RNA helicase DDX20 [EC:3.6.4.13]', 'DDX1; ATP-dependent RNA helicase DDX1 [EC:3.6.4.13]', 'DDX17; ATP-dependent RNA helicase DDX17 [EC:3.6.4.13]', 'DDX18, HAS1; ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]', 'DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]', 'DDX39; ATP-dependent RNA helicase DDX39 [EC:3.6.4.13]', 'DDX50; ATP-dependent RNA helicase DDX50 [EC:3.6.4.13]', 'DHX9; ATP-dependent RNA helicase A [EC:3.6.4.13]', 'DHX30; ATP-dependent RNA helicase DHX30 [EC:3.6.4.13]', 'DDX4, VASA; probable ATP-dependent RNA helicase DDX4 [EC:3.6.4.13]', 'MOV10L1; putative helicase MOV10L1 [EC:3.6.4.13]', 'DQX1; ATP-dependent RNA helicase DQX1 [EC:3.6.4.13]', 'DHX36, RHAU; ATP-dependent RNA helicase DHX36 [EC:3.6.4.13]', 'DDX10, DBP4; ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13]', 'DDX47, RRP3; ATP-dependent RNA helicase DDX47/RRP3 [EC:3.6.4.13]', 'DDX49, DBP8; ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13]', 'DDX52, ROK1; ATP-dependent RNA helicase DDX52/ROK1 [EC:3.6.4.13]', 'DHX37, DHR1; ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13]', 'DHR2; ATP-dependent RNA helicase DHR2 [EC:3.6.4.13]', 'DDX24, MAK5; ATP-dependent RNA helicase DDX24/MAK5 [EC:3.6.4.13]', 'DDX31, DBP7; ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13]', 'DDX51, DBP6; ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13]', 'DDX54, DBP10; ATP-dependent RNA helicase DDX54/DBP10 [EC:3.6.4.13]', 'DDX55, SPB4; ATP-dependent RNA helicase DDX55/SPB4 [EC:3.6.4.13]', 'DDX56, DBP9; ATP-dependent RNA helicase DDX56/DBP9 [EC:3.6.4.13]', 'DBP3; ATP-dependent RNA helicase DBP3 [EC:3.6.4.13]', 'DDX21; ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]', 'DDX43; ATP-dependent RNA helicase DDX43 [EC:3.6.4.13]', 'G3BP1; Ras GTPase-activating protein-binding protein 1 [EC:3.6.4.12 3.6.4.13]', 'DDX3Y; ATP-dependent RNA helicase DDX3Y [EC:3.6.4.13]', 'SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]', 'MRH4; ATP-dependent RNA helicase MRH4, mitochondrial [EC:3.6.4.13]', 'MSS116; ATP-dependent RNA helicase MSS116, mitochondrial [EC:3.6.4.13]', 'DHX33; ATP-dependent RNA helicase DHX33 [EC:3.6.4.13]', 'TDRD9; ATP-dependent RNA helicase TDRD9 [EC:3.6.4.13]', 'TDRD12; ATP-dependent RNA helicase TDRD12 [EC:3.6.4.13]', 'MOV10; helicase MOV-10 [EC:3.6.4.13]', 'ARMI; RNA helicase armi [EC:3.6.4.13]', 'DDX19, DBP5; ATP-dependent RNA helicase DDX19/DBP5 [EC:3.6.4.13]', 'DDX25, GRTH; ATP-dependent RNA helicase DDX25 [EC:3.6.4.13]', 'SLH1; antiviral helicase SLH1 [EC:3.6.4.13]', 'cshB; ATP-dependent RNA helicase CshB [EC:3.6.4.13]', 'DHX40, DDX40; ATP-dependent RNA helicase DHX40 [EC:3.6.4.13]', 'DHX32; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 [EC:3.6.4.13]', 'DHX29; ATP-dependent RNA helicase DHX29 [EC:3.6.4.13]', 'IGHMBP2; ATP-dependent RNA/DNA helicase IGHMBP2 [EC:3.6.4.12 3.6.4.13]', 'DDX59; ATP-dependent RNA helicase DDX59 [EC:3.6.4.13]', 'DDX28; ATP-dependent RNA helicase DDX28 [EC:3.6.4.13]', 'YTHDC2; ATP-dependent RNA helicase YTHDC2 [EC:3.6.4.13]', 'DHX34; ATP-dependent RNA helicase DHX34 [EC:3.6.4.13]', 'DDX60; ATP-dependent RNA helicase DDX60 [EC:3.6.4.13]', '1a-1b; Beet yellows virus replicase polyprotein 1ab [EC:2.1.1.- 2.7.7.48 3.4.22.- 3.6.4.13]', 'NPH2; Orthopoxvirus RNA helicase NPH-II [EC:3.6.4.13]', 'DDX53, CAGE; ATP-dependent RNA helicase DDX53 [EC:3.6.4.13]']"
29,gene_2093,3.5.1.28,[],"['xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]', 'amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]', 'cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]', 'ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]', 'E3.5.1.28D, amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]', 'atl; bifunctional autolysin [EC:3.5.1.28 3.2.1.96]', 'sle1; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]', 'PGRP-LB; peptidoglycan-recognition protein LB [EC:3.5.1.28]', 'PGRP-SB; peptidoglycan recognition protein SB [EC:3.5.1.28]']"
30,gene_2105,2.7.4.1,['Oxidative phosphorylation'],"['ppk; polyphosphate kinase [EC:2.7.4.1]', 'ppk2; polyphosphate kinase [EC:2.7.4.1]']"
31,gene_2106,3.6.1.11,['Purine metabolism'],"['PRUNE, PPX1; exopolyphosphatase [EC:3.6.1.11]', ""ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]""]"
32,gene_2157,1.1.1.17,['Fructose and mannose metabolism'],['mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]']
33,gene_2217,5.3.1.4,['Pentose and glucuronate interconversions'],['araA; L-arabinose isomerase [EC:5.3.1.4]']
34,gene_2222,3.2.1.55,['Amino sugar and nucleotide sugar metabolism'],"['abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]', 'xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]', 'abf1; non-reducing end alpha-L-arabinofuranosidase [EC:3.2.1.55]']"
35,gene_2232,3.2.1.37,['Amino sugar and nucleotide sugar metabolism'],"['xynB; xylan 1,4-beta-xylosidase [EC:3.2.1.37]', 'XYL4; xylan 1,4-beta-xylosidase [EC:3.2.1.37]', 'xylA; xylan 1,4-beta-xylosidase [EC:3.2.1.37]']"
